A	B	C	D
49.0	48.0	48.0	51.0
49.0	48.0	49.0	51.0
49.0	49.0	49.0	54.0
50.0	48.0	49.0	51.0
50.0	48.0	49.0	51.0
50.0	48.0	49.0	51.0
50.0	49.0	49.0	51.0
50.0	48.0	49.0	51.0
52.0	48.0	50.0	51.0
50.0	48.0	49.0	51.0
50.0	50.0	49.0	51.0
50.0	50.0	49.0	51.0
50.0	48.0	50.0	51.0
50.0	47.0	49.0	51.0
50.0	48.0	49.0	51.0
50.0	48.0	49.0	51.0
50.0	48.0	49.0	51.0
49.0	47.0	49.0	51.0
50.0	48.0	49.0	50.0
50.0	47.0	49.0	51.0
50.0	48.0	49.0	51.0
50.0	47.0	49.0	51.0
50.0	47.0	49.0	51.0
50.0	47.0	49.0	51.0
50.0	47.0	49.0	51.0
51.0	47.0	49.0	51.0
53.0	48.0	49.0	51.0
51.0	47.0	49.0	51.0
51.0	47.0	49.0	51.0
51.0	47.0	49.0	51.0
51.0	47.0	49.0	51.0
51.0	47.0	50.0	51.0
51.0	47.0	50.0	51.0
50.0	47.0	50.0	51.0
50.0	47.0	49.0	51.0
50.0	47.0	49.0	51.0
50.0	47.0	49.0	51.0
50.0	47.0	50.0	51.0
50.0	47.0	49.0	51.0
51.0	47.0	49.0	51.0
50.0	47.0	49.0	51.0
50.0	46.0	49.0	51.0
50.0	49.0	49.0	62.0
50.0	46.0	49.0	51.0
51.0	47.0	49.0	51.0
50.0	47.0	49.0	51.0
50.0	47.0	49.0	53.0
50.0	47.0	48.0	51.0
50.0	47.0	48.0	52.0
50.0	47.0	49.0	52.0
50.0	47.0	49.0	51.0
53.0	46.0	49.0	51.0
51.0	47.0	49.0	52.0
51.0	47.0	48.0	51.0
51.0	47.0	48.0	51.0
50.0	47.0	49.0	51.0
50.0	46.0	48.0	51.0
51.0	46.0	49.0	50.0
51.0	46.0	48.0	51.0
50.0	46.0	48.0	51.0
50.0	46.0	49.0	51.0
50.0	46.0	48.0	51.0
50.0	46.0	48.0	51.0
50.0	47.0	49.0	51.0
50.0	47.0	48.0	51.0
51.0	46.0	48.0	51.0
50.0	47.0	49.0	53.0
50.0	47.0	48.0	53.0
51.0	47.0	48.0	52.0
52.0	47.0	49.0	52.0
50.0	46.0	48.0	52.0
51.0	47.0	48.0	52.0
51.0	46.0	49.0	51.0
51.0	47.0	48.0	52.0
51.0	46.0	48.0	52.0
50.0	47.0	48.0	51.0
50.0	46.0	48.0	51.0
50.0	47.0	49.0	51.0
